URL,Step,Impact,Description,Issue,More information,CSS selector
/alcohol-licensing/new-on-licence/step/applicant-details/,1,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/alcohol-licensing/new-on-licence/step/applicant-details/,1,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h6
/alcohol-licensing/new-on-licence/step/business-details/,2,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/alcohol-licensing/new-on-licence/step/premises-details/,3,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/alcohol-licensing/new-on-licence/step/compliance/,4,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/alcohol-licensing/new-on-licence/step/compliance/,4,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,.stack--item:nth-child(2) > .font-sans.text-inherit.text-left > .gap-3.flex-col.w-full > h5
/alcohol-licensing/new-on-licence/step/compliance/,4,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,.stack--item:nth-child(1) > h5
/alcohol-licensing/new-on-licence/step/food-and-beverages/,5,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/alcohol-licensing/new-on-licence/step/food-and-beverages/,5,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h6
/alcohol-licensing/new-on-licence/step/health-and-safety/,6,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/alcohol-licensing/new-on-licence/step/summary-and-declaration/,7,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/alcohol-licensing/new-on-licence/step/summary-and-declaration/,7,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h6
/alcohol-licensing/new-on-licence/step/summary-and-declaration/,8,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h4
/alcohol-licensing/new-on-licence/step/summary-and-declaration/,8,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,h6
/alcohol-licensing/new-on-licence/step/payment/,9,moderate,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright,.pt-0.xl\:gap-4.lg\:flex > h4
